town,year,week,value
臺中市清水區,2015,1,19.11
臺中市潭子區,2015,1,19.0
臺中市烏日區,2015,1,24.33
臺中市石岡區,2015,1,15.0
臺中市神岡區,2015,1,17.0
臺中市西區,2015,1,27.0
臺中市西屯區,2015,1,23.25
臺中市豐原區,2015,1,14.5
臺中市霧峰區,2015,1,24.38
臺中市龍井區,2015,1,19.25
臺北市中山區,2015,1,30.0
臺北市中正區,2015,1,26.0
臺北市信義區,2015,1,25.0
臺北市內湖區,2015,1,24.5
臺北市北投區,2015,1,18.0
臺北市南港區,2015,1,23.5
臺北市士林區,2015,1,18.83
臺北市文山區,2015,1,22.0
臺北市松山區,2015,1,27.0
臺北市萬華區,2015,1,28.0
臺南市七股區,2015,1,19.64
臺南市下營區,2015,1,18.67
臺南市中西區,2015,1,22.0
臺南市仁德區,2015,1,23.0
臺南市佳里區,2015,1,18.75
臺南市六甲區,2015,1,19.0
臺南市北區,2015,1,23.0
臺南市北門區,2015,1,18.25
臺南市南化區,2015,1,18.47
臺南市南區,2015,1,23.5
臺南市善化區,2015,1,16.17
臺南市大內區,2015,1,17.67
臺南市學甲區,2015,1,18.67
臺南市安南區,2015,1,19.6
臺南市安定區,2015,1,18.0
臺南市官田區,2015,1,17.62
臺南市將軍區,2015,1,19.0
臺南市山上區,2015,1,17.0
臺南市左鎮區,2015,1,18.57
臺南市後壁區,2015,1,18.86
臺南市新化區,2015,1,18.5
臺南市新市區,2015,1,16.83
臺南市新營區,2015,1,19.67
臺南市東區,2015,1,24.0
臺南市東山區,2015,1,19.0
臺南市柳營區,2015,1,19.0
臺南市楠西區,2015,1,19.0
臺南市歸仁區,2015,1,22.0
臺南市永康區,2015,1,21.0
臺南市玉井區,2015,1,18.14
臺南市白河區,2015,1,19.85
臺南市西港區,2015,1,18.0
臺南市關廟區,2015,1,21.2
臺南市鹽水區,2015,1,19.0
臺南市麻豆區,2015,1,17.5
臺南市龍崎區,2015,1,19.83
臺東縣卑南鄉,2015,1,8.45
臺東縣大武鄉,2015,1,17.8
臺東縣太麻里鄉,2015,1,14.0
臺東縣延平鄉,2015,1,6.86
臺東縣成功鎮,2015,1,5.2
臺東縣東河鄉,2015,1,5.29
臺東縣池上鄉,2015,1,5.0
臺東縣海端鄉,2015,1,5.0
臺東縣綠島鄉,2015,1,6.0
臺東縣臺東市,2015,1,7.0
臺東縣蘭嶼鄉,2015,1,4.0
臺東縣達仁鄉,2015,1,18.15
臺東縣金峰鄉,2015,1,17.18
臺東縣長濱鄉,2015,1,7.58
臺東縣關山鎮,2015,1,5.0
臺東縣鹿野鄉,2015,1,5.33
花蓮縣光復鄉,2015,1,12.42
花蓮縣卓溪鄉,2015,1,8.31
花蓮縣吉安鄉,2015,1,10.0
花蓮縣壽豐鄉,2015,1,10.28
花蓮縣富里鄉,2015,1,5.58
花蓮縣新城鄉,2015,1,10.0
花蓮縣玉里鎮,2015,1,8.27
花蓮縣瑞穗鄉,2015,1,11.23
花蓮縣秀林鄉,2015,1,11.58
花蓮縣花蓮市,2015,1,10.0
花蓮縣萬榮鄉,2015,1,12.8
花蓮縣豐濱鄉,2015,1,10.76
花蓮縣鳳林鎮,2015,1,11.3
苗栗縣三灣鄉,2015,1,18.25
苗栗縣三義鄉,2015,1,10.67
苗栗縣公館鄉,2015,1,19.0
苗栗縣卓蘭鎮,2015,1,13.4
苗栗縣南庄鄉,2015,1,18.62
苗栗縣大湖鄉,2015,1,13.0
苗栗縣後龍鎮,2015,1,19.78
苗栗縣泰安鄉,2015,1,18.0
苗栗縣獅潭鄉,2015,1,18.71
苗栗縣竹南鎮,2015,1,17.75
苗栗縣苑裡鎮,2015,1,12.8
苗栗縣苗栗市,2015,1,21.0
苗栗縣西湖鄉,2015,1,19.75
苗栗縣通霄鎮,2015,1,15.55
苗栗縣造橋鄉,2015,1,19.2
苗栗縣銅鑼鄉,2015,1,13.88
苗栗縣頭份市,2015,1,17.86
苗栗縣頭屋鄉,2015,1,20.0
雲林縣二崙鄉,2015,1,16.0
雲林縣元長鄉,2015,1,15.0
雲林縣北港鎮,2015,1,15.0
雲林縣口湖鄉,2015,1,15.0
雲林縣古坑鄉,2015,1,18.77
雲林縣四湖鄉,2015,1,13.89
雲林縣土庫鎮,2015,1,15.8
雲林縣大埤鄉,2015,1,16.67
雲林縣崙背鄉,2015,1,15.67
