region,year,week,value
宜花東,2019,6,10.13
雲嘉南,2019,6,10.36
高屏,2019,6,10.79
中彰投,2019,7,18.44
北北基桃竹苗,2019,7,27.27
宜花東,2019,7,13.83
雲嘉南,2019,7,13.88
高屏,2019,7,13.76
中彰投,2019,8,21.13
北北基桃竹苗,2019,8,35.63
宜花東,2019,8,13.83
雲嘉南,2019,8,16.86
高屏,2019,8,14.82
中彰投,2019,9,13.69
北北基桃竹苗,2019,9,28.64
宜花東,2019,9,14.0
雲嘉南,2019,9,12.07
高屏,2019,9,12.5
中彰投,2019,10,19.32
北北基桃竹苗,2019,10,32.94
宜花東,2019,10,14.17
雲嘉南,2019,10,16.95
高屏,2019,10,16.53
中彰投,2019,11,16.33
北北基桃竹苗,2019,11,28.79
宜花東,2019,11,11.44
雲嘉南,2019,11,14.53
高屏,2019,11,13.12
中彰投,2019,12,22.63
北北基桃竹苗,2019,12,34.67
宜花東,2019,12,15.08
雲嘉南,2019,12,21.52
高屏,2019,12,17.31
中彰投,2019,13,12.47
北北基桃竹苗,2019,13,25.59
宜花東,2019,13,10.7
雲嘉南,2019,13,12.3
高屏,2019,13,12.84
中彰投,2019,14,14.8
北北基桃竹苗,2019,14,31.89
宜花東,2019,14,11.86
雲嘉南,2019,14,11.25
高屏,2019,14,8.97
中彰投,2019,15,12.53
北北基桃竹苗,2019,15,26.92
宜花東,2019,15,10.95
雲嘉南,2019,15,13.21
高屏,2019,15,13.86
中彰投,2019,16,14.63
北北基桃竹苗,2019,16,30.5
宜花東,2019,16,12.27
雲嘉南,2019,16,11.42
高屏,2019,16,12.76
中彰投,2019,17,13.25
北北基桃竹苗,2019,17,27.79
宜花東,2019,17,13.11
雲嘉南,2019,17,13.51
高屏,2019,17,14.64
中彰投,2019,18,13.5
北北基桃竹苗,2019,18,21.54
宜花東,2019,18,9.52
雲嘉南,2019,18,11.71
高屏,2019,18,10.15
中彰投,2019,19,14.29
北北基桃竹苗,2019,19,23.59
宜花東,2019,19,13.38
雲嘉南,2019,19,12.82
高屏,2019,19,12.19
中彰投,2019,20,14.94
北北基桃竹苗,2019,20,37.23
宜花東,2019,20,18.14
雲嘉南,2019,20,14.7
高屏,2019,20,13.8
中彰投,2019,21,12.7
北北基桃竹苗,2019,21,25.38
宜花東,2019,21,11.44
雲嘉南,2019,21,10.68
高屏,2019,21,8.87
中彰投,2019,22,13.39
北北基桃竹苗,2019,22,30.26
宜花東,2019,22,14.08
雲嘉南,2019,22,14.17
高屏,2019,22,13.3
中彰投,2019,23,17.52
北北基桃竹苗,2019,23,45.35
宜花東,2019,23,19.2
雲嘉南,2019,23,18.13
高屏,2019,23,18.03
中彰投,2019,24,14.84
北北基桃竹苗,2019,24,30.69
宜花東,2019,24,15.23
雲嘉南,2019,24,13.47
高屏,2019,24,13.72
中彰投,2019,25,15.61
北北基桃竹苗,2019,25,31.38
宜花東,2019,25,15.13
雲嘉南,2019,25,16.11
高屏,2019,25,16.13
中彰投,2019,26,14.82
北北基桃竹苗,2019,26,33.1
宜花東,2019,26,13.95
雲嘉南,2019,26,14.46
高屏,2019,26,14.36
中彰投,2019,27,12.47
北北基桃竹苗,2019,27,30.35
宜花東,2019,27,14.45
雲嘉南,2019,27,15.86
高屏,2019,27,20.36
中彰投,2019,28,12.7
北北基桃竹苗,2019,28,29.72
宜花東,2019,28,14.77
雲嘉南,2019,28,13.42
