日期,地區,測項
2019-04-09,豐原,SO2
2019-01-01,三重,O3
2019-01-08,三重,O3
2019-01-15,三重,O3
2019-01-22,三重,O3
2019-01-29,三重,O3
2019-02-05,三重,O3
2019-02-12,三重,O3
2019-02-19,三重,O3
2019-02-26,三重,O3
2019-03-05,三重,O3
2019-03-12,三重,O3
2019-03-19,三重,O3
2019-03-26,三重,O3
2019-04-02,三重,O3
2019-04-09,三重,O3
2019-04-16,三重,O3
2019-04-23,三重,O3
2019-04-30,三重,O3
2019-05-07,三重,O3
2019-05-14,三重,O3
2019-05-21,三重,O3
2019-05-28,三重,O3
2019-06-04,三重,O3
2019-06-11,三重,O3
2019-06-18,三重,O3
2019-06-25,三重,O3
2019-07-02,三重,O3
2019-07-09,三重,O3
2019-07-16,三重,O3
2019-07-23,三重,O3
2019-07-30,三重,O3
2019-08-06,三重,O3
2019-08-13,三重,O3
2019-08-20,三重,O3
2019-08-27,三重,O3
2019-09-03,三重,O3
2019-09-10,三重,O3
2019-09-17,三重,O3
2019-09-24,三重,O3
2019-10-01,三重,O3
2019-10-08,三重,O3
2019-10-15,三重,O3
2019-10-22,三重,O3
2019-10-29,三重,O3
2019-11-05,三重,O3
2019-11-12,三重,O3
2019-11-19,三重,O3
2019-11-26,三重,O3
2019-12-03,三重,O3
2019-12-10,三重,O3
2019-12-17,三重,O3
2019-12-24,三重,O3
2019-07-09,中壢,PM2.5
2019-06-18,古亭,O3
2019-06-18,古亭,PM10
2019-06-18,古亭,SO2
2019-09-10,基隆,SO2
2019-01-01,大同,O3
2019-01-08,大同,O3
2019-01-15,大同,O3
2019-01-22,大同,O3
2019-01-29,大同,O3
2019-02-05,大同,O3
2019-02-12,大同,O3
2019-02-19,大同,O3
2019-02-26,大同,O3
2019-03-05,大同,O3
2019-03-12,大同,O3
2019-03-19,大同,O3
2019-03-26,大同,O3
2019-04-02,大同,O3
2019-04-09,大同,O3
2019-04-16,大同,O3
2019-04-23,大同,O3
2019-04-30,大同,O3
2019-05-07,大同,O3
2019-05-14,大同,O3
2019-05-21,大同,O3
2019-05-28,大同,O3
2019-06-04,大同,O3
2019-06-11,大同,O3
2019-06-18,大同,O3
2019-06-25,大同,O3
2019-07-02,大同,O3
2019-07-09,大同,O3
2019-07-16,大同,O3
2019-07-23,大同,O3
2019-07-30,大同,O3
2019-08-06,大同,O3
2019-08-13,大同,O3
2019-08-20,大同,O3
2019-08-27,大同,O3
2019-09-03,大同,O3
2019-09-10,大同,O3
2019-09-17,大同,O3
2019-09-24,大同,O3
2019-10-01,大同,O3
2019-10-08,大同,O3
2019-10-15,大同,O3
2019-10-22,大同,O3
2019-10-29,大同,O3
2019-11-05,大同,O3
2019-11-12,大同,O3
2019-11-19,大同,O3
2019-11-26,大同,O3
2019-12-03,大同,O3
2019-12-10,大同,O3
2019-12-17,大同,O3
2019-12-24,大同,O3
2019-07-02,新莊,NO
2019-07-02,新莊,NO2
2019-07-02,新莊,NOx
2019-07-02,新莊,O3
2019-07-02,新莊,PM10
2019-07-02,新莊,PM2.5
2019-07-02,新莊,SO2
2019-09-24,板橋,SO2
2019-06-11,桃園,PM10
2019-07-23,桃園,NO
2019-07-23,桃園,NO2
2019-07-23,桃園,NOx
2019-07-23,桃園,O3
2019-07-23,桃園,PM10
2019-07-23,桃園,PM2.5
2019-07-23,桃園,SO2
2019-06-18,淡水,PM10
2019-06-25,淡水,NO
2019-06-25,淡水,NO2
2019-06-25,淡水,NOx
2019-06-25,淡水,O3
2019-06-25,淡水,PM10
2019-06-25,淡水,PM2.5
2019-06-25,淡水,SO2
2019-06-25,萬里,PM10
2019-07-23,萬里,NO
2019-07-23,萬里,NO2
2019-07-23,萬里,NOx
2019-07-23,萬里,O3
2019-07-23,萬里,PM10
2019-07-23,萬里,PM2.5
2019-07-23,萬里,SO2
2019-07-23,觀音,NO
2019-07-23,觀音,NO2
2019-07-23,觀音,NOx
2019-07-23,觀音,O3
2019-07-23,觀音,PM10
2019-07-23,觀音,PM2.5
2019-07-23,觀音,SO2
2019-07-30,觀音,NO
2019-07-30,觀音,NO2
2019-07-30,觀音,NOx
2019-06-11,陽明,PM10
2019-06-18,冬山,NO
2019-06-18,冬山,NO2
2019-06-18,冬山,NOx
2019-06-18,冬山,O3
2019-06-18,冬山,PM10
2019-06-18,冬山,PM2.5
2019-06-18,冬山,SO2
2019-05-07,宜蘭,NO
2019-05-07,宜蘭,NO2
2019-05-07,宜蘭,NOx
2019-05-07,宜蘭,O3
2019-05-07,宜蘭,PM10
